dataset,config_id,k_shot,n_seeds,frozen_acc,frozen_std,finetuned_acc,finetuned_std,finetuning_gain
eurosat,resnet50_satlas-rgb_rgb3,10,5,0.798074074074074,0.00727379497088446,0.8111851851851852,0.029970721881463276,0.013111111111111184
eurosat,resnet50_satlas-rgb_rgb3,25,5,0.8502962962962963,0.007542290461435715,0.8822962962962964,0.007174103711290819,0.03200000000000003
eurosat,resnet50_satlas-rgb_rgb3,50,5,0.8802962962962961,0.0030134586084160117,0.908148148148148,0.0032814898419758634,0.027851851851851905
eurosat,resnet50_satlas-rgb_rgb3,100,5,0.898074074074074,0.0029327159844191224,0.9374814814814816,0.0048953380583034774,0.03940740740740756
eurosat,resnet50_satlas-rgb_rgb3,full,5,0.9508888888888889,0.0016058876584206766,0.9848888888888888,0.0024201939633636256,0.03399999999999992
eurosat,resnet50_scratch_ms9,5,5,0.43148148148148147,0.030000000000000023,0.5243703703703704,0.03861135535938379,0.09288888888888891
eurosat,resnet50_scratch_ms9,10,5,0.4257777777777777,0.023027984406882435,0.5882962962962963,0.02400931460764069,0.16251851851851862
eurosat,resnet50_scratch_ms9,25,5,0.4278518518518518,0.018670487557215596,0.6856296296296296,0.004177147312554589,0.2577777777777778
eurosat,resnet50_scratch_ms9,50,5,0.384074074074074,0.03975835790522058,0.7247407407407407,0.017797828199377034,0.3406666666666667
eurosat,resnet50_scratch_ms9,100,5,0.4380740740740741,0.015034026336075106,0.768888888888889,0.013039456846136277,0.33081481481481484
eurosat,resnet50_scratch_ms9,full,5,0.7051851851851852,0.025986701252281134,0.9752592592592592,0.0028133524466419043,0.2700740740740739
eurosat,swin_b_imagenet_ms9,5,5,0.7202222222222222,0.02240756045249232,0.821111111111111,0.012524324754748814,0.1008888888888888
eurosat,swin_b_imagenet_ms9,10,5,0.7952592592592593,0.008600252014044437,0.8746666666666666,0.025720882294513737,0.07940740740740726
eurosat,swin_b_imagenet_ms9,25,5,0.8641481481481481,0.009613233905297933,0.931925925925926,0.006059829729552356,0.06777777777777794
eurosat,swin_b_imagenet_ms9,50,5,0.8944444444444445,0.006214059902060241,0.9514074074074074,0.00396659577347859,0.05696296296296288
eurosat,swin_b_imagenet_ms9,100,5,0.918962962962963,0.004424337232301603,0.9662222222222223,0.004085841591265673,0.047259259259259334
eurosat,swin_b_imagenet_ms9,full,5,0.9622962962962964,0.0027014196338978743,0.9895555555555557,0.0017253058813113925,0.027259259259259316
eurosat,swin_b_imagenet_rgb3,5,5,0.7251111111111112,0.01646253592746989,0.820888888888889,0.029950347570869874,0.09577777777777785
eurosat,swin_b_imagenet_rgb3,10,5,0.8008148148148149,0.005207623408406742,0.8758518518518518,0.01243198229621661,0.0750370370370369
eurosat,swin_b_imagenet_rgb3,25,5,0.8768148148148148,0.008395243280535062,0.9378518518518518,0.012234561672333413,0.061037037037037
eurosat,swin_b_imagenet_rgb3,50,5,0.9073333333333332,0.0029906117389905556,0.9573333333333334,0.003243649488268342,0.050000000000000155
eurosat,swin_b_imagenet_rgb3,100,5,0.9286666666666665,0.006161965731284579,0.9717777777777779,0.002405982484283185,0.04311111111111132
eurosat,swin_b_imagenet_rgb3,full,5,0.9712592592592593,0.0018629298281420661,0.9915555555555556,0.0010924356447224066,0.020296296296296368
