dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,resnet50_imagenet_rgb3,5,42,stage1,5,Pasture,0.8443396226415094
eurosat,resnet50_imagenet_rgb3,5,42,stage1,6,PermanentCrop,0.6138211382113821
eurosat,resnet50_imagenet_rgb3,5,42,stage1,7,Residential,0.8282097649186256
eurosat,resnet50_imagenet_rgb3,5,42,stage1,8,River,0.62890625
eurosat,resnet50_imagenet_rgb3,5,42,stage1,9,SeaLake,0.9351535836177475
eurosat,resnet50_imagenet_rgb3,5,42,stage2,0,AnnualCrop,0.7966339410939691
eurosat,resnet50_imagenet_rgb3,5,42,stage2,1,Forest,0.9288025889967637
eurosat,resnet50_imagenet_rgb3,5,42,stage2,2,HerbaceousVegetation,0.8439108061749572
eurosat,resnet50_imagenet_rgb3,5,42,stage2,3,Highway,0.46851385390428213
eurosat,resnet50_imagenet_rgb3,5,42,stage2,4,Industrial,0.7741935483870968
eurosat,resnet50_imagenet_rgb3,5,42,stage2,5,Pasture,0.681265206812652
eurosat,resnet50_imagenet_rgb3,5,42,stage2,6,PermanentCrop,0.6717557251908397
eurosat,resnet50_imagenet_rgb3,5,42,stage2,7,Residential,0.7966339410939691
eurosat,resnet50_imagenet_rgb3,5,42,stage2,8,River,0.5098039215686274
eurosat,resnet50_imagenet_rgb3,5,42,stage2,9,SeaLake,0.9616026711185309
eurosat,resnet50_imagenet_rgb3,5,123,stage1,0,AnnualCrop,0.8811700182815356
eurosat,resnet50_imagenet_rgb3,5,123,stage1,1,Forest,0.8725490196078431
eurosat,resnet50_imagenet_rgb3,5,123,stage1,2,HerbaceousVegetation,0.8076923076923077
eurosat,resnet50_imagenet_rgb3,5,123,stage1,3,Highway,0.5488126649076517
eurosat,resnet50_imagenet_rgb3,5,123,stage1,4,Industrial,0.8784313725490196
eurosat,resnet50_imagenet_rgb3,5,123,stage1,5,Pasture,0.7869565217391304
eurosat,resnet50_imagenet_rgb3,5,123,stage1,6,PermanentCrop,0.7298969072164948
eurosat,resnet50_imagenet_rgb3,5,123,stage1,7,Residential,0.8947368421052632
