dataset,k_shot,stage,seed,config_a,config_b,p_raw,n_discordant,b_only,c_only,exact_used,n_err_a,n_err_b,n_err_both,jaccard,gpu_mismatch,p_holm,significant_holm_05
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,swin_b_scratch_ms9,1.5181517376305171e-93,925,775,150,False,415,1040,265,0.22268907563025211,False,5.1617159079437584e-92,True
eurosat,10,stage2,42,resnet50_satlas-rgb_rgb3,resnet50_scratch_ms9,1.8587829118421343e-118,998,865,133,False,440,1172,307,0.23524904214559386,False,6.691618482631684e-117,True
eurosat,10,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_imagenet_ms9,1.9497460954661916e-14,505,166,339,False,440,267,101,0.16666666666666666,False,3.704517581385764e-13,True
eurosat,10,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_imagenet_rgb3,8.976226791757364e-09,488,180,308,False,440,312,132,0.2129032258064516,False,1.3464340187636045e-07,True
eurosat,10,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_satlas-ms_ms9,3.0724749046420255e-24,482,129,353,False,440,216,87,0.15289982425307558,False,7.681187261605064e-23,True
eurosat,10,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,1.3524126697562258e-17,420,122,298,False,440,264,142,0.2526690391459075,False,2.840066606488074e-16,True
eurosat,10,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_scratch_ms9,1.7833190014006828e-84,946,773,173,False,440,1040,267,0.2201154163231657,False,5.706620804482185e-83,True
eurosat,10,stage2,42,resnet50_scratch_ms9,swin_b_imagenet_ms9,5.3939626108102834e-160,1125,110,1015,False,1172,267,157,0.12246489859594384,False,2.319403922648422e-158,True
eurosat,10,stage2,42,resnet50_scratch_ms9,swin_b_imagenet_rgb3,2.796474682562554e-144,1128,134,994,False,1172,312,178,0.1362940275650842,False,1.1465546198506472e-142,True
eurosat,10,stage2,42,resnet50_scratch_ms9,swin_b_satlas-ms_ms9,4.180909425743453e-179,1120,82,1038,False,1172,216,134,0.10685805422647528,False,1.881409241584554e-177,True
eurosat,10,stage2,42,resnet50_scratch_ms9,swin_b_satlas-rgb_rgb3,5.914587948898147e-165,1098,95,1003,False,1172,264,169,0.13338595106550907,False,2.6024186975151846e-163,True
eurosat,10,stage2,42,resnet50_scratch_ms9,swin_b_scratch_ms9,1.7786037851310846e-06,752,310,442,False,1172,1040,730,0.4925775978407557,False,2.381566793765196e-05,True
